year,euro_norm,diesel_nox,diesel_pm,petrol_nox,petrol_pm
2023,6d,0.08,0.0045,0.06,0.0045
2022,6d,0.08,0.0045,0.06,0.0045
2021,6d,0.08,0.0045,0.06,0.0045
2020,6d,0.08,0.0045,0.06,0.0045
2019,6d,0.08,0.0045,0.06,0.0045
2018,6c,0.08,0.0045,0.06,0.0045
2017,6b,0.08,0.0045,0.06,0.0045
2016,6b,0.08,0.0045,0.06,0.0045
2015,6b,0.08,0.0045,0.06,0.0045
2014,5b,0.18,0.0045,0.06,0.0045
2013,5b,0.18,0.0045,0.06,0.0045
2012,5a,0.18,0.005,0.06,0.005
2011,5a,0.18,0.005,0.06,0.005
2010,4,0.25,0.025,0.08,0.005
2009,4,0.25,0.025,0.08,0.005
2008,4,0.25,0.025,0.08,0.005
2007,4,0.25,0.025,0.08,0.005
2006,4,0.25,0.025,0.08,0.005
2005,3,0.5,0.05,0.15,0.005
2004,3,0.5,0.05,0.15,0.005
2003,3,0.5,0.05,0.15,0.005
2002,3,0.5,0.05,0.15,0.005
2001,3,0.5,0.05,0.15,0.005
2000,2,0.5,0.08,0.15,0.005
